##万󠄂	「一／ぼう」
丙󠄁	「丙」の「人」に代えて「入」
主󠄁	「麈－鹿」
乳󠄁	「郛のへん＋礼のつくり」
亡󠄁	「氓のへん」
交󠄁	「皎のつくり」
伋󠄂	「にんべん＋及」
伴󠄁	「にんべん＋絆のつくり」
住󠄁	「にんべん＋(麈－鹿)」
侮󠄁	「にんべん＋誨のつくり」
侵󠄁	「にんべん＋駸のつくり」
便󠄁	「にんべん＋哽のつくり」
併󠄁	「にんべん＋餠のつくり」
倦󠄁	「にんべん＋卷」
偉󠄁	「にんべん＋韋」
偏󠄁	「偏」の「戸」に代えて「戸の旧字」
健󠄁	「にんべん＋廴＋聿」
傑󠄁	「にんべん＋(舛／木)」
僅󠄁	「にんべん＋槿のつくり」
僊󠄁	「僊」の「巳」に代えて「犯のつくり」
僊󠄂	「僊」の「巳」に代えて「犯のつくり」、「価のつくり」に代えて「襾」
僧󠄁	「にんべん＋曾」
儲󠄁	「儲」の「者」に代えて「睹のつくり」
免󠄁	「俛のつくり」の「危－厄」に代えて「刀」
兔󠄁	「菟－くさかんむり」
全󠄁	「銓のつくり」
公󠄁	「蚣のつくり」
具󠄁	「惧のつくり」
兼󠄁	「兼」の「税のつくり－兄」に代えて「八がしら」
冉󠄁	「冉の4画目左右に突き出る」
冒󠄁	「瑁のつくり」
冕󠄀	「日／俛のつくり」
冕󠄀	「日／免」
冬󠄀	「鼕－鼓」
凋󠄁	「冫＋蜩のつくり」
凞󠄁	「（冫＋臣＋巳）／れんが」
凞󠄁	「（冫＋臣＋犯のつくり）／れんが」
刃󠄁	「劒のつくり」
分󠄁	「扮のつくり」
券󠄁	「劵」の「力」に代えて「刀」
削󠄁	「悄のつくり＋りっとう」
前󠄁	「剪－刀」
割󠄀	「瞎のつくり＋りっとう
勇󠄁	「甬／力」
勉󠄀	「俛のつくりのにょうの形＋力」
勝󠄁	「縢」の「糸」に代えて「力」
勤󠄁	「懃－心」
勺󠄀	「勹＜一」
包󠄁	「鉋のつくり」
匕󠄁	「叱のつくり」
化󠄁	「訛－言」
匹󠄁	「匹」の「匚」に代えて「匸」
半󠄁	「絆のつくり」
卑󠄀	「婢のつくり」
博󠄁	「博」の「縛のつくり」に代えて「溥のつくり」
𠧩󠄁	「毎＋卜」
危󠄁	「(沒のつくり－又)／厄」
卿󠄂	「卿」の「即」に代えて「喞－口」
厩󠄅	「厂＋漑のつくり」
及󠄁	「岌－山」
叟󠄁	「溲のつくり」
叱󠄁	「口＋化のつくり」
史󠄁	「駛のつくり」
吸󠄁	「口＋(岌－山)」
呈󠄁	「呈」の「王」に代えて「壬」の下の横棒が長いもの
呈󠄁	「酲のつくり」
周󠄀	「蜩のつくり」
哨󠄁	「口＋悄のつくり」
唐󠄁	「溏のつくり」
唳󠄁	「唳」の「大」に代えて「犬」
唹󠄁	「唹」の「冬－夂」に代えて「冫」
啄󠄁	「啄」の「豕」に代えて「冢－冖」
啓󠄁	「啓」の「戸」に代えて「戸の旧字」
喝󠄁	「口＋曷」
喫󠄁	「口＋禊のつくり」
喰󠄁	「口＋(餮－殄)」
嘅󠄃	「漑」のさんずいに代えて「口」
嘆󠄀	「口＋艱のへん」
噂󠄁	「口＋墫のつくり」
噌󠄁	「口＋曾」
器󠄁	「器」の「大」に代えて「犬」
嚊󠄂	「口＋鼻」
囀󠄁	「口＋轉」
圍󠄁	「囗＜幃のつくり」
圖󠄃	「圖」の「回」に代えて「面から一、二画目をとったもの」
坪󠄁	「土へん＋怦のつくり」
堋󠄁	「土へん＋(萠－くさかんむり)」
堙󠄁	「土へん＋(西／土)」
堵󠄁	「土へん＋睹のつくり」
塀󠄁	「塀」の「并」に代えて「餠のつくり」
塘󠄁	「土へん＋溏のつくり」
塚󠄁	「土へん＋冢」
墜󠄁	「(隧－二点しんにょう)／土」
墨󠄀	「壥－土へん－厂」
壷󠄂	「壼」の「亞」に代えて「亜」
契󠄁	「禊のつくり」
妄󠄁	「氓のへん／女」
妥󠄁	「綏のつくり」
姿󠄁	「(咨－口)／女」
娩󠄁	「女＋俛のつくり」
婦󠄁	「女＋帚」
媛󠄁	「女＋爰」
媾󠄁	「媾」の「冉」に代えて「冉の4画目左右に突き出る」
嫌󠄁	「女＋賺のつくり」
害󠄂	「瞎のつくり」
宵󠄁	「宀／悄のつくり」
寒󠄁	「寒」の「冬－夂」に代えて「冫」
寗󠄂	「うかんむり／必／冉」
寗󠄂	「宀／必／冉」
寛󠄁	「寛」の「儿」を「兔」のそれのように
寧󠄀	「濘のつくり」
尊󠄁	「墫のつくり」
尋󠄁	「潯のつくり」
導󠄁	「導」の「道」に代えて「二点しんにょうの道」
屑󠄁	「尸＋悄のつくり」
屠󠄁	「居」の「古」に代えて「睹のつくり」
層󠄁	「尸＋曾」
##屮##屮󠄀	「艸のつくり」
崩󠄁	「山／(萠－くさかんむり)」
巷󠄁	「巷」の「己」に代えて「巳」
巽󠄀	「饌のつくり」
帨󠄂	「巾＋税のつくり」
帽󠄁	「帽」の「冒」に代えて「瑁のつくり」
幣󠄁	「敝／巾」
平󠄁	「怦のつくり」
庖󠄁	「广＋鉋のつくり」
廊󠄁	「广＋（螂－虫）」
廉󠄀	「广＋賺のつくり」
廏󠄁	「廏」の「皀」に代えて「喞－口－卩」
廐󠄁	「广＋(漑－さんずい)」
延󠄁	「蜒－虫」
建󠄁	「廴＋聿」
廻󠄁	「廴＋回」
弊󠄁	「敝／廾」
弱󠄁	「嫋のつくり」
彩󠄁	「綵のつくり＋彡」
彫󠄁	「蜩のつくり＋彡」
往󠄁	「彳＋(麈－鹿)」
徘󠄁	「彳＋非」
徽󠄁	「徴」の「王」に代えて「一／糸」
忍󠄁	「劒のつくり／心」
忘󠄁	「氓のへん／心」
