# 青空文庫に出現する外字注記とUCSの対応一覧
# 
# ※ 括弧が対応していない等、極端に間違えているものは除外した。
# ※ 注記辞書にない注記でも、「／・＋」等を間違えている程度のものは採集して記載した。
# ※ 「－・-」は「－」に、「+」は「＋」に、「<」は「＜」に統一した。
# ※［…］の前後の「」の括弧の抜けは補完した。
# ※ IVSで表記可能なものは、Adobe-Japan1 を優先し、無いものに限り汎用電子も使用した。
# ※ 注記辞書の記法から逸れている表記には念のため「標準注記外」とコメントに付記した。
################################
# AozoraEpub3 Modified
#
# http://kanji-database.sourceforge.net/aozora/gaiji.html
# https://github.com/cjkvi/cjkvi-data/blob/master/aozora_gaiji_chuki.txt
# 上記から取得後以下の変換を行った
# 注記内 － を － に変換
# ・IVS文字は chuki_ivs.txt に移動
# ・2文字以上は濁点半濁点以外コメントアウト
# ・※で始まらない物はコメントアウトまたは読み込み時に除外
################################

#UCS	IVS	char	青空文庫記法	→コメント
U+04E02		丂	※［＃「朽のつくり」、第4水準2-1-2］
U+04E04		丄	※［＃「ぼう／一」］
U+04E05		丅	※［＃「一／ぼう」］
U+20089		𠂉	※［＃「尓－小」、第4水準2-1-1］
U+04E0C		丌	※［＃「鼾－干－自－田」］
U+04E0F		丏	※［＃「眄のつくり」、第4水準2-1-3］
U+04E12		丒	※［＃「刃／一」、第4水準2-1-4］
U+2000B		𠀋	※［＃「丈＋一の右上に丶」、第3水準1-14-2］
U+20017		𠀗	※［＃「共」の最後の画のない字］
U+20017		𠀗	※［＃「昔」の「日」に代えて「丿」］
U+03402		㐂	※［＃「七／（七＋七）」、第3水準1-14-3］
U+04E1F		丟	※［＃「王／厶」］
U+04E23		丣	※［＃「柳の本字」のつくり］
U+04E24		两	※［＃「丙」の「人」に代えて「从」］
U+04E28		丨	※［＃「十－一」、第3水準1-14-4］
U+04E29		丩	※［＃「収－又」、第4水準2-1-5］
U+04E2B		丫	※［＃「Ｙ」に似た字、第4水準2-1-6］
U+04E2E		丮	※［＃「虱」の「丿／虫」に代えて「舉－與」、第4水準2-1-7］
U+04E2F		丯	※［＃「挈－刀－手」、第3水準1-14-5］
U+04E30		丰	※［＃「蚌のつくり」、第3水準1-14-6］
U+04E35		丵	※［＃「湿のつくり－日」］
U+04E40		乀	※［＃「乂－丿」、第4水準2-1-8］
U+04E41		乁	※［＃「迅－しんにょう－十」］
U+04E44		乄	※［＃「〆の続いてる部分をとったもの」］
U+04E47		乇	※［＃「托のつくり」、第4水準2-1-9］
U+04E48		么	※［＃「公の右上の欠けたもの」、第4水準2-1-10］
U+03406		㐆	※［＃「殷のへん」、第4水準2-1-13］
U+0340C		㐌	※［＃「施のつくり」］
U+04E51		乑	※［＃「衆－血」、第4水準2-1-12］
U+200A2		𠂢	※［＃「派のつくり」、第4水準2-1-11］
U+200A4		𠂤	※［＃「師のへん」、第4水準2-1-14］
U+04E5A		乚	※［＃「礼のつくり」、第4水準2-1-15］
U+04E5C		乜	※［＃「也－ぼう」］
U+04E63		乣	※［＃「幺＋礼のつくり」］
U+04E68		乨	※［＃「台＋礼のつくり」］
U+04E69		乩	※［＃「占＋礼のつくり」、第4水準2-1-16］
U+04E74		乴	※［＃「折／乙」］
U+04E75		乵	※［＃「辛＋礼のつくり」］
U+04E79		乹	※［＃「朝のへん＋礼のつくり」］
U+04E7F		乿	※［＃「孚＋礼のつくり」の「子」に代えて「糸」］
U+04E8C		二	※［＃「三／二」］
U+04E8D		亍	※［＃「行のつくり」、第3水準1-14-7］
U+04E96		亖	※［＃「二／二」］
U+04E97		亗	※［＃「山／二」］
U+04E9D		亝	※［＃「參」の「珍のつくり」に代えて「二」、第4水準2-1-17］
U+0342C		㐬	※［＃「流のつくり」、第4水準2-1-18］
U+04EAF		亯	※［＃「京」の「小」に代えて「日」］
U+0342E		㐮	※［＃「譲のつくり」、第4水準2-1-19］
U+04EB9		亹	※［＃「亠／興」の「具－目」に代えて「冖／且」、第4水準2-1-20］
U+04EBB		亻	※［＃「にんべん」、第4水準2-1-21］
U+201A2		𠆢	※［＃「人がしら」、第4水準2-1-22］
U+04EBC		亼	※［＃「人がしら／一」、第4水準2-1-23］
U+04EC3		仃	※［＃「にんべん＋丁」、第4水準2-1-24］
U+04EC8		仈	※［＃「にんべん＋八」、第4水準2-1-25］
U+04ED0		仐	※［＃「人がしら／十」、第4水準2-1-26］
U+04EDA		仚	※［＃「人がしら／山」、第4水準2-1-28］
U+04EDB		仛	※［＃「にんべん＋托のつくり」］
U+04EE0		仠	※［＃「にんべん＋干」］
U+04EE1		仡	※［＃「にんべん＋乞」、第3水準1-14-8］
U+04EE2		仢	※［＃「にんべん＋勺」］
U+04EE8		仨	※［＃「にんべん＋三」］
U+04EEB		仫	※［＃「にんべん＋公の右上の欠けたもの」、第4水準2-1-27］
U+04EEF		仯	※［＃「にんべん＋少」］
U+04EF1		仱	※［＃「にんべん＋今」、第4水準2-1-29］
U+04EF3		仳	※［＃「にんべん＋比」］
U+04EF5		仵	※［＃「にんべん＋午」、第4水準2-1-30］
U+04EFC		仼	※［＃「にんべん＋王」］
U+04EFD		份	※［＃「にんべん＋扮のつくり」、第3水準1-14-9］
U+04EFE		仾	※［＃「にんべん＋互」］
U+04EFF		仿	※［＃「にんべん＋方」、第3水準1-14-10］
U+04F00		伀	※［＃「にんべん＋蚣のつくり」、第4水準2-1-31］
U+04F02		伂	※［＃「にんべん＋市」］
U+04F03		伃	※［＃「にんべん＋予」、第3水準1-14-11］
U+04F08		伈	※［＃「にんべん＋心」］
U+04F0B		伋	※［＃「にんべん＋（岌－山）」、第3水準1-14-12］
U+04F0C		伌	※［＃「にんべん＋厄」］
U+04F12		伒	※［＃「にんべん＋斤」］
U+04F15		伕	※［＃「にんべん＋夫」］
U+04F16		伖	※［＃「にんべん＋友」、第4水準2-1-32］
U+04F17		众	※［＃「人がしら／从」］
U+04F19		伙	※［＃「にんべん＋火」］
U+04F64		佤	※［＃「にんべん＋瓶のつくり」、第4水準2-1-33］
U+04F2E		伮	※［＃「にんべん＋奴」］
U+04F31		伱	※［＃「にんべん＋（人がしら／小）」］
U+04F33		伳	※［＃「にんべん＋世」］
U+04F35		伵	※［＃「にんべん＋駟のつくり」］
